IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.237.131,2095,2095,false,SIN,Asia Pacific,Singapore,64,2.98
8.219.248.170,8880,8880,false,SIN,Asia Pacific,Singapore,162,2.98
8.222.137.178,2083,2083,true,SIN,Asia Pacific,Singapore,130,2.98
8.222.150.197,8880,8880,false,SIN,Asia Pacific,Singapore,75,2.98
47.236.82.218,8080,8080,false,SIN,Asia Pacific,Singapore,53,2.98
8.222.164.44,2095,2095,false,SIN,Asia Pacific,Singapore,107,2.97
8.222.150.197,8080,8080,false,SIN,Asia Pacific,Singapore,113,2.97
47.236.87.206,2053,2053,true,SIN,Asia Pacific,Singapore,56,2.97
8.222.211.124,2082,2082,false,SIN,Asia Pacific,Singapore,122,2.96
47.236.130.95,8080,8080,false,SIN,Asia Pacific,Singapore,52,2.96
47.236.103.153,2095,2095,false,SIN,Asia Pacific,Singapore,52,2.96
47.236.114.23,80,80,false,SIN,Asia Pacific,Singapore,111,2.96
8.222.154.50,2087,2087,true,SIN,Asia Pacific,Singapore,78,2.96
47.236.144.48,2053,2053,true,SIN,Asia Pacific,Singapore,112,2.96
47.236.87.246,2083,2083,true,SIN,Asia Pacific,Singapore,51,2.96
47.236.114.23,8443,8443,true,SIN,Asia Pacific,Singapore,79,2.96
8.222.187.107,8880,8880,false,SIN,Asia Pacific,Singapore,53,2.96
8.219.114.201,2086,2086,false,SIN,Asia Pacific,Singapore,54,2.95
8.219.157.97,80,80,false,SIN,Asia Pacific,Singapore,99,2.95
8.219.60.130,80,80,false,SIN,Asia Pacific,Singapore,114,2.95
8.222.167.8,80,80,false,SIN,Asia Pacific,Singapore,81,2.95
47.236.7.13,8443,8443,true,SIN,Asia Pacific,Singapore,123,2.95
8.222.248.188,2052,2052,false,SIN,Asia Pacific,Singapore,109,2.94
8.222.214.231,80,80,false,SIN,Asia Pacific,Singapore,62,2.94
47.236.7.13,2052,2052,false,SIN,Asia Pacific,Singapore,123,2.94
47.236.65.177,8080,8080,false,SIN,Asia Pacific,Singapore,158,2.93
8.219.193.22,2083,2083,true,SIN,Asia Pacific,Singapore,51,2.93
8.219.208.69,8880,8880,false,SIN,Asia Pacific,Singapore,62,2.93
47.236.144.156,2052,2052,false,SIN,Asia Pacific,Singapore,56,2.93
8.222.187.107,8080,8080,false,SIN,Asia Pacific,Singapore,72,2.93
47.236.82.218,80,80,false,SIN,Asia Pacific,Singapore,70,2.92
47.245.84.155,2052,2052,false,SIN,Asia Pacific,Singapore,51,2.92
8.222.136.196,2096,2096,true,SIN,Asia Pacific,Singapore,125,2.92
8.222.155.242,2096,2096,true,SIN,Asia Pacific,Singapore,130,2.92
47.236.87.206,2096,2096,true,SIN,Asia Pacific,Singapore,53,2.92
8.222.211.124,2087,2087,true,SIN,Asia Pacific,Singapore,101,2.92
47.236.144.208,8443,8443,true,SIN,Asia Pacific,Singapore,143,2.91
8.222.159.252,2053,2053,true,SIN,Asia Pacific,Singapore,48,2.91
8.222.144.219,8880,8880,false,SIN,Asia Pacific,Singapore,114,2.90
8.222.168.234,2083,2083,true,SIN,Asia Pacific,Singapore,52,2.90
8.222.168.234,2087,2087,true,SIN,Asia Pacific,Singapore,52,2.90
8.222.140.185,2095,2095,false,SIN,Asia Pacific,Singapore,86,2.90
8.219.248.170,8443,8443,true,SIN,Asia Pacific,Singapore,267,2.90
8.219.228.157,2086,2086,false,SIN,Asia Pacific,Singapore,166,2.90
47.236.116.182,2095,2095,false,SIN,Asia Pacific,Singapore,50,2.90
8.222.227.191,2082,2082,false,SIN,Asia Pacific,Singapore,66,2.88
8.222.215.228,8080,8080,false,SIN,Asia Pacific,Singapore,51,2.88
8.222.237.131,8080,8080,false,SIN,Asia Pacific,Singapore,58,2.88
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,23,2.88
8.222.130.137,8443,8443,true,SIN,Asia Pacific,Singapore,201,2.88
8.222.137.166,2083,2083,true,SIN,Asia Pacific,Singapore,115,2.88
8.222.180.242,2052,2052,false,SIN,Asia Pacific,Singapore,57,2.88
8.222.159.252,2083,2083,true,SIN,Asia Pacific,Singapore,51,2.88
8.222.182.10,8080,8080,false,SIN,Asia Pacific,Singapore,63,2.87
47.236.94.113,8080,8080,false,SIN,Asia Pacific,Singapore,123,2.87
8.222.212.219,2053,2053,true,SIN,Asia Pacific,Singapore,50,2.87
8.222.229.22,8080,8080,false,SIN,Asia Pacific,Singapore,59,2.87
47.236.145.85,8080,8080,false,SIN,Asia Pacific,Singapore,76,2.87
47.236.65.177,8443,8443,true,SIN,Asia Pacific,Singapore,53,2.86
8.222.167.147,2082,2082,false,SIN,Asia Pacific,Singapore,106,2.86
8.222.145.164,8080,8080,false,SIN,Asia Pacific,Singapore,112,2.86
8.219.198.139,2052,2052,false,SIN,Asia Pacific,Singapore,59,2.86
8.222.214.231,2087,2087,true,SIN,Asia Pacific,Singapore,168,2.86
8.222.129.32,2053,2053,true,SIN,Asia Pacific,Singapore,80,2.86
8.222.136.196,2095,2095,false,SIN,Asia Pacific,Singapore,86,2.86
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,85,2.86
8.219.157.97,2096,2096,true,SIN,Asia Pacific,Singapore,149,2.86
8.222.229.102,8880,8880,false,SIN,Asia Pacific,Singapore,105,2.86
8.219.167.65,2086,2086,false,SIN,Asia Pacific,Singapore,92,2.85
47.236.7.206,8443,8443,true,SIN,Asia Pacific,Singapore,104,2.85
8.222.167.147,2083,2083,true,SIN,Asia Pacific,Singapore,80,2.85
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,60,2.84
8.222.180.86,2053,2053,true,SIN,Asia Pacific,Singapore,63,2.84
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,50,2.84
8.222.168.24,2082,2082,false,SIN,Asia Pacific,Singapore,57,2.84
8.222.229.102,80,80,false,SIN,Asia Pacific,Singapore,146,2.84
8.222.182.10,2053,2053,true,SIN,Asia Pacific,Singapore,204,2.84
47.236.7.13,2082,2082,false,SIN,Asia Pacific,Singapore,60,2.83
8.222.155.242,2082,2082,false,SIN,Asia Pacific,Singapore,184,2.83
8.222.187.107,8443,8443,true,SIN,Asia Pacific,Singapore,55,2.82
8.222.219.34,8080,8080,false,SIN,Asia Pacific,Singapore,53,2.82
8.222.169.182,2087,2087,true,SIN,Asia Pacific,Singapore,55,2.82
8.219.114.201,8080,8080,false,SIN,Asia Pacific,Singapore,62,2.82
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,131,2.82
8.222.140.185,2086,2086,false,SIN,Asia Pacific,Singapore,134,2.81
8.219.0.162,80,80,false,SIN,Asia Pacific,Singapore,62,2.81
8.222.187.107,2086,2086,false,SIN,Asia Pacific,Singapore,59,2.81
47.236.103.153,80,80,false,SIN,Asia Pacific,Singapore,51,2.81
47.236.7.13,8080,8080,false,SIN,Asia Pacific,Singapore,59,2.81
8.222.249.190,2096,2096,true,SIN,Asia Pacific,Singapore,53,2.80
8.219.167.65,80,80,false,SIN,Asia Pacific,Singapore,68,2.80
8.222.175.78,8080,8080,false,SIN,Asia Pacific,Singapore,62,2.80
47.236.94.109,2053,2053,true,SIN,Asia Pacific,Singapore,53,2.80
47.236.82.218,8880,8880,false,SIN,Asia Pacific,Singapore,51,2.80
47.236.87.206,2083,2083,true,SIN,Asia Pacific,Singapore,110,2.79
8.222.167.147,2053,2053,true,SIN,Asia Pacific,Singapore,124,2.79
8.222.137.178,2052,2052,false,SIN,Asia Pacific,Singapore,132,2.79
8.222.147.203,2095,2095,false,SIN,Asia Pacific,Singapore,53,2.79
8.222.129.245,8443,8443,true,SIN,Asia Pacific,Singapore,58,2.79
8.222.130.137,8880,8880,false,SIN,Asia Pacific,Singapore,169,2.79
8.222.229.102,2052,2052,false,SIN,Asia Pacific,Singapore,151,2.78
8.222.130.137,2083,2083,true,SIN,Asia Pacific,Singapore,191,2.78
8.222.212.219,2086,2086,false,SIN,Asia Pacific,Singapore,61,2.78
